title,release,redacted,blurb,file,url,bytes,page
"NASA-UAP-D3A, Gemini 7 Audio Excerpt, 1965",01,,"This audio recording contains air to ground communications and the NASA Public Affairs audio feed with commentary, recorded during the flight of the Gemini 7 mission. In this excerpted segment of audio, Astronaut Frank Borman reports to NASA mission control in Houston his sighting of an unidentified object, which he referred to as a ""bogey."" This sighting occurred on December 5, 1965. The dialogue includes Borman's initial report, as well as additional comments by Astronaut Jim Lovell, Borman's fellow crew member.",DOD_111689232.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111689232/DOD_111689232.mp4,19126276,https://www.dvidshub.net/video/1006119
"DOW-UAP-PR19, Unresolved UAP Report, Middle East, May 2022",01,,"The United States Central Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of five seconds of video footage from an infrared sensor aboard a U.S. military platform in 2022. An accompanying mission report, DoW-UAP-D10, described the observation as a “possible missile” moving across the field-of-view. The report also described four other objects not depicted in the video as “possible birds.”  Video Description: At the two second mark, the video depicts an area of contrast moving from left to right across the bottom third of the sensor field-of-view.  This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance.",DOD_111688723.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111688723/DOD_111688723.mp4,6814452,https://www.dvidshub.net/video/1006056
"DOW-UAP-PR21, Unresolved UAP Report, Iraq, May 2022",01,,"The United States Central Command submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of ten seconds of video footage from an infrared sensor aboard a U.S. military platform in 2022. An accompanying mission report, DoW-UAP-D14, described the UAP as a “probable SU-27/35.""   Video Description: The video depicts two areas of contrast moving together near the center of the field-of-view throughout the runtime.  This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance.  AARO Comment: SU-27 and SU-35 are designations for military aircraft operated by the Armed Forces of the Russian Federation.",DOD_111688762.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111688762/DOD_111688762.mp4,12752210,https://www.dvidshub.net/video/1006059
"DOW-UAP-PR22, Unresolved UAP Report, Syria, July 2022",01,,"The United States Central Command submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of 14 seconds of video footage from an infrared (left) and electro-optical (right) sensor aboard a U.S. military platform in 2022. An accompanying mission report, DoW-UAP-D16, described the UAP as “moving from north to south.”  Video Description: At the five second mark, the video depicts an object moving from right to left across the top right quarter of the sensor field-of-view.  This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance.",DOD_111688775.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111688775/DOD_111688775.mp4,3982264,https://www.dvidshub.net/video/1006060
"DOW-UAP-PR23, Unresolved UAP Report, Iraq, December 2022",01,,"The United States Central Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of ten seconds of video footage from an infrared sensor aboard a U.S. military platform in 2022. An accompanying mission report, DoW-UAP-D18, described the UAP as ""flying west to east.""  Video Description: The video depicts an area of contrast moving from the bottom left to the top right of the sensor field-of-view. At approximately six seconds, the area of contrast leaves the sensor field-of-view near the top right corner of the frame.  This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance.",DOD_111688809.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111688809/DOD_111688809.mp4,5300653,https://www.dvidshub.net/video/1006062
"DOW-UAP-PR26, Unresolved UAP Report, United Arab Emirates, October 2023",01,,"The United States Central Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 43 seconds of video footage from an infrared sensor aboard a U.S. military platform in 2023. An accompanying mission report, DoW-UAP-D23, mentions a UAP was observed during the mission.  Video Description: 00:00-00:17: An area of contrast remains generally within the top left quarter of the display. 00:17-00:18: The sensor pans from right to left, causing the area of contrast to pass through the center of the display. The sensor then pans from left to right, causing the area of contrast to return to its approximate initial position within the sensor field-of-view. 00:29: The sensor stops tracking the area of contrast, causing it to leave the sensor field-of-view on the left side of the screen. 00:30-00:43: The sensor resumes its motion relative to the background but does not reacquire the area of contrast.  This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance.",DOD_111688816.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111688816/DOD_111688816.mp4,27493716,https://www.dvidshub.net/video/1006063
"DOW-UAP-PR27, Unresolved UAP Report, United Arab Emirates, October 2023",01,,"The United States Central Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of four minutes and 57 seconds of video footage from an infrared (IR) sensor aboard a U.S. military platform in 2023. An accompanying mission report, DoW-UAP-D23, mentions a UAP was observed during the mission.  Video Description: 00:00-01:55: No content. 01:56: An area of contrast becomes distinguishable against the background in the center of the right side of the display. 02:04: The IR sensor pans to center on the area of contrast. 02:14: The sensor field-of-view narrows to zoom in on the area of contrast. 02:15-03:26: The area of contrast remains generally in the center of the sensor field-of-view.  03:27-04:57: The sensor motion causes the area of contrast to move erratically across the display. Due to this motion, the sensor system repeatedly loses and reacquires the area of contrast within the center area of the display.  This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance.",DOD_111688825.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111688825/DOD_111688825.mp4,155885289,https://www.dvidshub.net/video/1006067
"DOW-UAP-PR28, Unresolved UAP Report, Greece, January 2024",01,,"The United States Central Command submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of one minute and five seconds of video footage captured via multiple sensor modalities aboard a U.S. military platform in 2024. An accompanying mission report, DoW-UAP-D7, described the UAP as “diamond-shaped” and moving at approximately 434 knots. The observer also reported that the UAP was only detectable via short-wave infrared (SWIR) sensor.  Video Description: The screen is split into two viewing areas for the first ten seconds of the video, with the right side displaying electro-optical footage and the left side displaying SWIR footage. 00:04: An area of contrast becomes distinguishable against the background in the center of the right frame. 00:10: The display shifts to a full-screen view of the SWIR feed to better focus on the area of contrast. 00:55: The area of contrast remains generally within the center of the sensor field-of-view. The area of contrast visually resembles an inverted teardrop with a vertically linear trailing mass suspended below. 00:56: The operator switches the sensor modality to visible spectrum, losing the subject against the background. 00:57-01:05: The operator switches the sensor modality to SWIR (Black-Hot) but does not reacquire the area of contrast.  This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance.",DOD_111688954.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111688954/DOD_111688954.mp4,15992674,https://www.dvidshub.net/video/1006073
"DOW-UAP-PR29, Unresolved UAP Report, United Arab Emirates, June 2024",01,,"The United States Northern Command submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of 21 seconds of video footage from an infrared sensor aboard a U.S. military platform in 2024. An accompanying mission report, DoW-UAP-D8, described the UAP as consisting of an object with a vertical pole or bar attached to the bottom of the object. The observer also reported that the UAP may instead be a reflection from an object in the water.  Video Description: 00:00-00:21: An area of contrast visually resembling an inverted teardrop with a vertically linear trailing mass suspended below remains generally within the center of the sensor field-of-view throughout the video.  This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance.",DOD_111688964.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111688964/DOD_111688964.mp4,15445575,https://www.dvidshub.net/video/1006074
"DOW-UAP-PR31, Unresolved UAP Report, Syria, October 2024",01,,"The United States Central Command submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of five seconds of video footage from a full-motion video (FMV) camera aboard a U.S. military platform in 2024. An accompanying mission report, DoW-UAP-D32, described the UAP as consisting of a “misshapen and uneven ball of white light,” and reported that a “light/glare halo effect” occurred at the top of the FMV feed.  Video Description: 00:00-00:01: An indistinctly shaped multi-colored area moves from right to left across the top edge of the sensor display within the first second of the video.  This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance.",DOD_111688970.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111688970/DOD_111688970.mp4,644525,https://www.dvidshub.net/video/1006076
